ProductID,Brand,Model,Type,Switch,Layout,PriceUSD,Stock,ReleaseDate
1,HP,HP-QI-340,Optical,Black,JIS,93.41,446,2023-08-20
2,Logitech,Logitech-FU-322,Mechanical,Black,JIS,132.51,160,2023-02-17
3,ASUS,ASUS-JM-026,Hybrid,Silent Red,ISO,96.8,374,2025-01-25
4,Keychron,Keychron-US-139,Hybrid,Green,ANSI,154.61,115,2024-07-06
5,Logitech,Logitech-PA-522,Hybrid,Brown,ISO,35.94,8,2023-03-01
6,HP,HP-ZE-245,Hybrid,Red,JIS,78.94,43,2023-06-30
7,Dell,Dell-RJ-711,Hybrid,Brown,ISO,119.91,44,2022-06-17
8,Razer,Razer-CN-326,Optical,Brown,JIS,53.8,91,2025-01-30
9,ASUS,ASUS-MS-803,Hybrid,Green,JIS,122.61,400,2023-01-13
10,HyperX,HyperX-BG-114,Membrane,Red,ISO,42.8,478,2025-02-24
11,Razer,Razer-GJ-668,Hybrid,Silent Red,ISO,83.05,212,2025-04-11
12,Logitech,Logitech-GZ-826,Hybrid,Red,JIS,54.76,282,2022-06-12
13,Dell,Dell-DQ-488,Hybrid,Red,JIS,146.48,280,2023-02-20
14,Microsoft,Microsoft-AG-075,Hybrid,Black,ANSI,177.38,165,2023-10-10
15,Microsoft,Microsoft-WD-720,Mechanical,Silent Red,ANSI,48.75,119,2023-01-16
16,Microsoft,Microsoft-ZW-058,Mechanical,Green,ANSI,179.28,254,2023-05-23
17,Razer,Razer-NG-012,Membrane,Blue,ANSI,196.36,109,2022-12-09
18,HyperX,HyperX-MR-188,Mechanical,Brown,ANSI,75.79,497,2022-05-12
19,Corsair,Corsair-ZF-021,Optical,Red,ANSI,99.74,214,2024-09-05
20,Dell,Dell-WP-578,Mechanical,Black,ISO,153.57,353,2024-04-15
21,Microsoft,Microsoft-IH-393,Mechanical,Silent Red,ANSI,106.52,27,2023-09-20
22,HP,HP-YP-421,Hybrid,Blue,JIS,196.29,179,2025-01-20
23,HyperX,HyperX-FT-440,Mechanical,Red,JIS,86.53,91,2023-07-06
24,Logitech,Logitech-VM-665,Membrane,Green,ISO,133.5,290,2024-11-16
25,Dell,Dell-VA-380,Hybrid,Black,ANSI,65.93,361,2025-01-06
26,SteelSeries,SteelSeries-JI-476,Optical,Brown,ANSI,152.93,366,2024-08-19
27,Dell,Dell-CR-118,Hybrid,Red,ANSI,77.96,196,2024-10-02
